sigma	err_rms

0.56234132519	0.381594736611
0.659121559254	0.376243683647
0.772557893955	0.374368760441
0.905516882482	0.373570800343
1.06135841841	0.373189648506
1.24402064073	0.373004436346
1.45811945118	0.372924725915
1.7090651588	0.372900780659
2.00319919927	0.372896165146
2.34795438388	0.372881564045
2.75204272785	0.372836847713
3.22567560422	0.372757940905
3.7808217868	0.372659903419
4.43150990288	0.372567673592
5.1941829387	0.372500733816
6.08811375626	0.372464800251
7.13589212136	0.372452325107
8.3639955504	0.372445277354
9.80345840118	0.372419595372
11.4906561158	0.372352931769
13.4682244335	0.37223417348
15.7861368022	0.37207337546
18.502967215	0.37190066282
21.6873703839	0.371757417312
25.4198166545	0.371749862413
29.7946255036	0.372206610605
34.9223490069	0.373835035514
40.9325655062	0.377766119314
47.9771540738	0.385564967436
56.234132519	0.399397154699
