sigma	err_rms

0.56234132519	0.12749548028
0.659121559254	0.104689820387
0.772557893955	0.0968880199375
0.905516882482	0.0939529379227
1.06135841841	0.0927894982025
1.24402064073	0.0923970402879
1.45811945118	0.0924177541034
1.7090651588	0.0927328258341
2.00319919927	0.0933845967061
2.34795438388	0.0945557790156
2.75204272785	0.0964391808292
3.22567560422	0.0989673454682
3.7808217868	0.101731490942
4.43150990288	0.104308894009
5.1941829387	0.106563863805
6.08811375626	0.108628701647
7.13589212136	0.110752910646
8.3639955504	0.11316996902
9.80345840118	0.116025508736
11.4906561158	0.119388714398
13.4682244335	0.123300089416
15.7861368022	0.127796597737
18.502967215	0.132915134444
21.6873703839	0.138725286068
25.4198166545	0.145481940471
29.7946255036	0.153926160582
34.9223490069	0.165570405095
40.9325655062	0.182976867446
47.9771540738	0.210236927678
56.234132519	0.252547476195
