sigma	err_rms

0.56234132519	0.0720522154463
0.659121559254	0.0382638718643
0.772557893955	0.021807697297
0.905516882482	0.0132384749268
1.06135841841	0.0088571745096
1.24402064073	0.00698915742105
1.45811945118	0.00656288871822
1.7090651588	0.00677740553614
2.00319919927	0.00718261850053
2.34795438388	0.00758817903791
2.75204272785	0.00792784612753
3.22567560422	0.00818542764369
3.7808217868	0.00836678433846
4.43150990288	0.00849163360444
5.1941829387	0.00858551977201
6.08811375626	0.00867191121277
7.13589212136	0.00877437652069
8.3639955504	0.00892959178551
9.80345840118	0.00920808721544
11.4906561158	0.00977410062938
13.4682244335	0.0110275220654
15.7861368022	0.0136485180891
18.502967215	0.0183145226167
21.6873703839	0.0255604205518
25.4198166545	0.0361483894923
29.7946255036	0.0515758284092
34.9223490069	0.0740940530986
40.9325655062	0.105685837544
47.9771540738	0.14712847392
56.234132519	0.19836322658
