sigma	err_rms

0.56234132519	0.233632380534
0.659121559254	0.208709792357
0.772557893955	0.200981881047
0.905516882482	0.19828663838
1.06135841841	0.197331893018
1.24402064073	0.197211093428
1.45811945118	0.197813780482
1.7090651588	0.199348078926
2.00319919927	0.202010896484
2.34795438388	0.205565642922
2.75204272785	0.209214018363
3.22567560422	0.212351192069
3.7808217868	0.21519994124
4.43150990288	0.218353198679
5.1941829387	0.222107329938
6.08811375626	0.226346102018
7.13589212136	0.230858680245
8.3639955504	0.235526335972
9.80345840118	0.240193700278
11.4906561158	0.244583746609
13.4682244335	0.248390409186
15.7861368022	0.251438938805
18.502967215	0.253854003895
21.6873703839	0.256036626514
25.4198166545	0.258433331783
29.7946255036	0.26150028539
34.9223490069	0.265970972799
40.9325655062	0.273246588153
47.9771540738	0.285637118556
56.234132519	0.306016763462
