sigma	err_rms

0.199526231497	7075.97308356
0.2340080347	229.478207619
0.27444892781	18.97326351
0.321878751182	3.09696034034
0.377505320532	0.83118017295
0.442745184349	0.326408937969
0.519259696759	0.176608425467
0.608997324442	0.123951352919
0.714243264964	0.102537896361
0.837677640068	0.0920639331347
0.982443745837	0.0859712671724
1.15222809774	0.0820603647051
1.35135430893	0.0794444696395
1.58489319246	0.077576452838
1.85879189115	0.0759198700776
2.18002532349	0.0739718515478
2.55677380222	0.0715521153015
2.99863134858	0.0688415272919
3.51685000717	0.0661189183699
4.1246263829	0.063593894086
4.83743769676	0.0613949192862
5.67343591823	0.0596036062959
6.65391001103	0.0582881766105
7.80382806347	0.0575172405412
9.15247310877	0.0573500169858
10.734188827	0.0578226798039
12.5892541179	0.0589565040089
14.7649088161	0.0608076587007
17.3165566686	0.0635375039946
20.309176209	0.0674415117674
23.818975457	0.0729962179529
27.9353325799	0.0810173791758
32.7630719363	0.0928465592021
38.4251334625	0.110730261887
45.0657033775	0.138226629461
52.8538859308	0.179210484157
61.9880096975	0.235558476387
72.7006780785	0.305818330067
85.2646926216	0.385415832236
100.0	0.467756519393
