sigma	err_rms

0.199526231497	6358.43591368
0.2340080347	206.183925783
0.27444892781	17.0242898999
0.321878751182	2.75703072489
0.377505320532	0.718285040799
0.442745184349	0.258852412158
0.519259696759	0.115553471473
0.608997324442	0.0592232555263
0.714243264964	0.0331462786222
0.837677640068	0.0196240966834
0.982443745837	0.0120905699541
1.15222809774	0.00786284691623
1.35135430893	0.00609895215143
1.58489319246	0.00694211290909
1.85879189115	0.0102051353099
2.18002532349	0.0155130199333
2.55677380222	0.0225859111675
2.99863134858	0.0307197463708
3.51685000717	0.0387533233137
4.1246263829	0.045732753816
4.83743769676	0.0514109795654
5.67343591823	0.0561131416465
6.65391001103	0.0603811050445
7.80382806347	0.0647150235426
9.15247310877	0.0694311221376
10.734188827	0.0746591464093
12.5892541179	0.0804354028623
14.7649088161	0.0867739836542
17.3165566686	0.0936841491059
20.309176209	0.101192874453
23.818975457	0.109470357331
27.9353325799	0.119135463577
32.7630719363	0.13158188404
38.4251334625	0.149129214014
45.0657033775	0.175319428659
52.8538859308	0.214992480713
61.9880096975	0.272370269058
72.7006780785	0.347957846213
85.2646926216	0.437502706577
100.0	0.533163360591
