sigma	err_rms

0.199526231497	4807.9704937
0.2340080347	155.908430207
0.27444892781	12.8742434381
0.321878751182	2.08597583588
0.377505320532	0.544384163396
0.442745184349	0.197019795693
0.519259696759	0.08872153014
0.608997324442	0.0461913130175
0.714243264964	0.0265193258877
0.837677640068	0.0162929089799
0.982443745837	0.0105061962362
1.15222809774	0.00702207197764
1.35135430893	0.00483804452849
1.58489319246	0.0034617200656
1.85879189115	0.00263397243742
2.18002532349	0.00216136180659
2.55677380222	0.00185972398091
2.99863134858	0.00160872660589
3.51685000717	0.00138910525891
4.1246263829	0.0012517032776
4.83743769676	0.00125724719747
5.67343591823	0.00143381350078
6.65391001103	0.00178283713737
7.80382806347	0.00229785086327
9.15247310877	0.00297846856095
10.734188827	0.00386910137492
12.5892541179	0.0050738717128
14.7649088161	0.00673447580422
17.3165566686	0.00906901870647
20.309176209	0.0125039310633
23.818975457	0.0178980930815
27.9353325799	0.026851594375
32.7630719363	0.0414712996232
38.4251334625	0.0634246838514
45.0657033775	0.0935799084031
52.8538859308	0.13272462355
61.9880096975	0.18217827068
72.7006780785	0.242638302759
85.2646926216	0.31226747802
100.0	0.386284106242
