sigma	err_rms

0.199526231497	11398.3405696
0.2340080347	369.644470796
0.27444892781	30.5519918926
0.321878751182	4.97771842243
0.377505320532	1.32830217276
0.442745184349	0.51635385222
0.519259696759	0.277522084125
0.608997324442	0.196530868651
0.714243264964	0.166596367452
0.837677640068	0.15437344372
0.982443745837	0.148793513597
1.15222809774	0.146000900645
1.35135430893	0.144682851905
1.58489319246	0.145047867876
1.85879189115	0.149592141772
2.18002532349	0.16516923948
2.55677380222	0.201652626677
2.99863134858	0.252492433616
3.51685000717	0.283832652523
4.1246263829	0.27666672444
4.83743769676	0.249997166512
5.67343591823	0.225393671442
6.65391001103	0.208686209571
7.80382806347	0.198367291306
9.15247310877	0.19236659506
10.734188827	0.189401436545
12.5892541179	0.188697742831
14.7649088161	0.189671477858
17.3165566686	0.191796903871
20.309176209	0.194598555229
23.818975457	0.197717396931
27.9353325799	0.201003611654
32.7630719363	0.204591689322
38.4251334625	0.20899565888
45.0657033775	0.215399804319
52.8538859308	0.226294091207
61.9880096975	0.245976712713
72.7006780785	0.279769283425
85.2646926216	0.332248025147
100.0	0.40724486271
