sigma	err_rms	mean	
1.0	0.101926958622	0.0473847861987
1.0734188827	0.100580670644	0.0430072033676
1.15222809774	0.100016102906	0.0389685176445
1.23682339729	0.100166147455	0.0351162128137
1.32762958922	0.100959483854	0.0313754043946
1.4251026703	0.102320734395	0.0277389266114
1.52973211609	0.104165214501	0.0242499907559
1.64204333889	0.106364820656	0.0209839351196
1.76260032618	0.10870150554	0.0180324914999
1.89200847277	0.11085752558	0.0154871176676
2.0309176209	0.112485519755	0.0134174839612
2.18002532349	0.113342857211	0.0118491774675
2.340080347	0.11340268442	0.0107523507019
2.51188643151	0.112854734282	0.0100498939176
2.69630632678	0.111999610832	0.00964099454604
2.89426612472	0.111121101147	0.00942667955177
3.10675990983	0.110411365579	0.00932627922826
3.33485475124	0.109961316309	0.00928242711978
3.57969606104	0.109787302165	0.00925839093345
3.84251334625	0.10986394111	0.00923257881511
4.1246263829	0.110148455968	0.00919333299096
4.42745184349	0.110594385164	0.00913517516677
4.75251041106	0.111157728836	0.00905649277089
5.10143441546	0.111799142909	0.00895820972185
5.47597603042	0.112484595963	0.00884296774282
5.87801607227	0.113185556441	0.00871450563201
6.3095734448	0.113878949652	0.00857710808126
6.77281527744	0.114546875173	0.00843512119943
7.27006780785	0.115176131091	0.00829257808794
7.80382806347	0.115757666875	0.00815296535313
8.37677640068	0.116286067178	0.00801912617049
8.99178996466	0.11675908673	0.00789326594511
9.65195713735	0.117177187322	0.00777701476494
10.3605930463	0.117543018514	0.00767150570619
11.1212562118	0.117860830746	0.00757744277605
11.9377664171	0.118135875517	0.00749514875279
12.8142238894	0.118373890223	0.00742459494585
13.7550298901	0.118580762291	0.00736541988737
14.7649088161	0.118762421961	0.00731694446597
