sigma	err_rms

0.56234132519	0.174655766709
0.659121559254	0.153070934693
0.772557893955	0.145779053241
0.905516882482	0.143094451995
1.06135841841	0.142193612595
1.24402064073	0.142152292467
1.45811945118	0.142615652007
1.7090651588	0.143337896678
2.00319919927	0.144021644095
2.34795438388	0.144460529896
2.75204272785	0.144693716626
3.22567560422	0.144880894018
3.7808217868	0.14513140761
4.43150990288	0.145473124071
5.1941829387	0.145888408794
6.08811375626	0.14634991787
7.13589212136	0.146842915834
8.3639955504	0.147368196979
9.80345840118	0.147925924221
11.4906561158	0.148507216078
13.4682244335	0.149121307824
15.7861368022	0.149848199491
18.502967215	0.150873148693
21.6873703839	0.152489732957
25.4198166545	0.155143883585
29.7946255036	0.159575557253
34.9223490069	0.167111618372
40.9325655062	0.180310049093
47.9771540738	0.203465793266
56.234132519	0.241329099617
